Symbol	Description
BAM.PF.I	Brookfield Asset Mgmt Inc Pref Ser 46
BAM.PF.J	Brookfield Asset Mgmt Inc Pref Ser 48
BBD.A	Bombardier Inc Cl A Mv
BBD.B	Bombardier Inc Cl B Sv
BEK.B	Becker Milk Company Ltd Cl.B NV
BTB.DB.G	Btb REIT 6.0 Pct Debs
BTB.DB.H	Btb REIT 7.00 Pct Debs
BYL.DB	Baylin Technologies Inc 6.5 Pct Debs
CBD.U	Hempfusion Wellness Inc
CCL.A	Ccl Inc Cl A
CCL.B	Ccl Industries Inc Cl B NV
CEF.U	Central Fund of Canada Ltd Cl.U NV
CGX.DB.B	Cineplex Inc Debs
CHE.DB.C	Chemtrade Logistics Income Fund 5.0 Debs
CHE.DB.D	Chemtrade Logistics Inc Fd 4.75 Pct Debs
CHE.DB.E	Chemtrade Logistics If 6.50 Pct Debs
CHE.DB.F	Chemtrade Logistics If 8.50 Pct Debs
CHR.DB.A	Chorus Aviation Inc 5.75 Pct Debs
CHR.DB.B	Chorus Aviation Inc 6.00 Pct Debs
CJR.B	Corus Entertainment Inc Cl.B NV
CJT.DB.D	Cargojet Inc 5.75 Pct Debs
CJT.DB.E	Cargojet Inc 5.75 Pct Debs
CJT.DB.F	Cargojet Inc 5.25 Pct Debs
CKI.DB	Clarke Inc 6.25 Pct Debs
CSU.DB	Constellation Software Inc Debs Ser 1
CSW.A	Corby Spirit and Wine Ltd Class A
CSW.B	Corby Spirit and Wine Ltd Class B
CTC.A	Canadian Tire Corporation Cl A NV
CUP.U	Caribbean Util US
DBM.NT	Doman Build Materials Grp 6.375 Pct Note
DHT.U	Dri Healthcare Trust USD
DII.A	Dorel Industries Inc Cl.A Mv
DII.B	Dorel Industries Inc Cl.B Sv
DIV.DB	Diversified Royalty Corp 5.25 Pct Debs
DRT.DB	Dirtt Environmental Solns Ltd 6 Pct Debs
ECN.DB	Ecn Capital Corp 6.0 Pct Debs
EFN.DB.B	Element Fleet Management 4.25 Pct Debs
EIF.DB.H	Exchange Income Corp 5.25 Pct Debs
EIF.DB.I	Exchange Income Corp 5.25 Pct Debs
EIF.DB.J	Exchange Income Corp 5.35 Pct Debs
EIF.DB.K	Exchange Income Corp 5.75 Pct Debs
EMP.A	Empire Company Limited
ENB.PF.A	Enbridge Inc Pref Ser 9
ENB.PF.C	Enbridge Inc Pref Ser 11
ENB.PF.E	Enbridge Inc Pref Ser 13
ENB.PF.G	Enbridge Inc Pref Ser 15
ENB.PF.I	Enbridge Inc Pref Ser 17
ENB.PF.K	Enbridge Inc Pref Series 19
ENB.PF.U	Enbridge Inc Pref Ser L
ENB.PF.V	Enbridge Inc Pref Ser 5 USD
EXE.DB.C	Extendicare Inc 5 Pct Debs
FDE.A	First Trust Alphadex Emg Mkt Div CAD AC
FFH.U	Fairfax Financial Holdings Limited USD
FIH.U	Fairfax India Holdings Corporation USD
FSZ.DB	Fiera Capital Corp 5.0 Pct Debs
FSZ.DB.A	Fiera Capital Corp 5.60 Pct Debs
FVI.DB.U	Fortuna Silver Mines Inc 4.65 Pct Debs
GCG.A	Guardian Capital Group Ltd Cl.A NV
GCM.NT.U	Gran Colombia Gold 5.0 Pct Sil Notes
GIB.A	CGI Group Inc Cl.A Sv
HMM.A	Hammond Manufacturing Co. Ltd Cl A. Sv
HOM.DB.U	Bsr REIT 5.0 Pct Debs USD
HOM.U	Bsr Real Estate Investment Trust
HOT.DB.U	American Hotel Inc Prop REIT 5 Pct Debs
HOT.U	American Hotel Income Properties REIT US
HPS.A	Hammond Power Solutions Inc Cl A. Sv
IBG.DB.E	Ibi Group Inc. 6.50% Listed Senior
INE.DB.B	Innergex Renewable Energy 4.75 Pct Debs
INE.DB.C	Innergex Renewable Energy 4.65 Pct Debs
IVQ.DB.U	Invesque Inc 5.00 Pct Debs
IVQ.DB.V	Invesque Inc 6.00 Pct Debs USD
IVQ.U	Invesque Inc
LAS.A	Lassonde Industries Inc Cl A Sv
LGT.A	Logistec Corporation Cl.A Mv
LGT.B	Logistec Corporation Cl.B Sv
MDP.DB	Medexus Pharmaceuticals Inc 6.0 Pct Debs
MHC.U	Flagship Communities Real Estate Investm
MNS.U	Royal CDN Mint CDN Svr Reserves Etr USD
MNT.U	Royal Canadian Mint CDN Gld Reserves USD
MPC.C	Madison Pacific Properties Inc Cl.C NV
MRG.DB.A	Morguard Na REIT 4.50 Pct Debs
MRT.DB	Morguard REIT 4.50 Pct Debs
MTL.DB	Mullen Group Ltd 5.75 Pct Debs
NAC.U	Nextpoint Acquisition Corp USD
NOA.DB.A	Na Construction Grp Ltd 500% Conv. Unsec. Sub DE
NOA.DB.B	North American Construc Grp 5.5 Pct Debs
NPF.U	Nextpoint Financial Inc
NWH.DB.F	Northwest Healthcare Prop 5.25 Pct Debs
NWH.DB.G	Northwest Healthcare Prop REIT 5.50 Debs
PBH.DB.F	Premium Brands Hld Corp 4.60 Pct Debs
PBH.DB.G	Premium Brands Holdings 4.65 Pct Debs
PBH.DB.H	Premium Brands Holdings 4.20 Pct Debs
PBI.B	Purpose Best Ideas Fund Non Hdg
PIC.A	Premium Income A
PLC.DB	Park Lawn Corporation 5.75 Pct Debs
PLZ.DB.E	Plaza Retail REIT 5.10 Pct Debs
PNC.A	Postmedia Network Canada Corp Cl A
PNC.B	Postmedia Network Canada Corp Cl B
PPL.PF.A	Pembina Pipeline Corp Pref Ser 21
PPL.PF.C	Pembina Pipeline Corp Pref Series 23
PPL.PF.E	Pembina Pipeline Corp Pref Series 25
PZW.F	Invesco FTSE RAFI Glb Small Mid Hedge
QBR.A	Quebecor Inc Cl.A Mv
QBR.B	Quebecor Inc Cl.B Sv
RAY.A	Stingray Digital Group Inc Sv
RAY.B	Stingray Digital Group Inc Variable Sv
RCI.A	Rogers Communications Inc Cl.A Mv
RCI.B	Rogers Communications Inc Cl.B NV
RSI.DB.E	Rogers Sugar Inc 5Pct Debs
RSI.DB.F	Rogers Sugar Inc 4.75 Pct Debs
RWX.B	CI First Asset MSCI Intl Low Risk Wghtd Unhgd Et
SGR.R	Slate Grocery REIT Sub Receipts
SGR.U	Slate Grocery REIT USD
SGY.DB	Surge Energy Inc 5.75 Pct Debs
SGY.DB.A	Surge Energy Inc  6.75 Pct Debs
SJR.B	Shaw Communications Inc Cl.B NV
SOT.DB	Slate Office REIT 5.25 Pct Debs
TCL.A	Transcontinental Inc Cl A Sv
TCL.B	Transcontinental Inc Cl B Mv
TCN.DB.U	Tricon Capital Group 5.75 Pct Debs USD
TPX.A	Molson Coors Canada Inc Cl.A Lv
TPX.B	Molson Coors Canada Inc Cl.B NV
TVA.B	Tva Group Inc Cl.B NV
TWM.DB	Tidewater Midstream Infras 5.5 Pct Debs
TXF.B	CI First Asset Tech Giants Cov Call Unheg
URB.A	Urbana Corporation A NV
VMH.U	Vm Hotel Acquisition Corp Cls A USD
VWE.U	Vintage Wine Estates Inc USD
WCM.A	Wilmington Capital Mgmt Inc Cl A NV
WIR.U	Wpt Industrial REIT USD
WJX.DB	Wajax Corporation 6.00 Pct Debs
XMF.A	M Split Corp Capital Shares 2014
XXM.B	CI First Asset Morningstr US Value Idx Unhdgd Et
YXM.B	CI First Asset Morningstar US Momentum Unhdgd Et
BASE.B	Evolve Glob Matls Mining Enh Yld Unhgd
BBTV.DB	Bbtv Holdings Inc 7 Pct Debs
BITC.U	Bitcoin Trust USD
CALL.B	Evolve US Banks Enhanced Yield Unheg
CARS.U	Evolve Automobile Innovation Idx Fd USD
CMAG.U	CI Munro Alt Global Growth Fund USD
CRWN.DB	Crown Capital Partners Inc 6.0 Pct Debs
CWEB.WR	Charlottes Web Holdings Inc Wr
CWEB.WS	Charlottes Web Holdings Inc Ws
CYBR.U	Evolve Cyber Security Index Uh Fund USD
FLOT.U	Purpose Floating Rate Income Fund USD
FOOD.DB	Goodfood Market Corp 5.75 Pct Debs
HFPC.U	Helios Fairfax Partners Corporation
HMMJ.U	Horizons Marijuana Life Sciences Idx USD
INCR.U	Intercure Ltd
KILO.B	Purpose Gold Bullion Fund Non Hedged
KILO.U	Purpose Gold Bullion Fund Non Hedged USD
LIFE.B	Evolve Global Healthcare Enhance Yld Unheg
NVEI.U	Nuvei Corporation USD
PHYS.U	Sprott Physical Gold Trust USD
PMIF.U	Pimco Monthly Income Fund
PSLV.U	Sprott Physical Silver Trust USD
QBTC.U	The Bitcoin Fund
QETH.U	Ether Fund [The]
RUSB.U	RBC Short Term US Corp Bond USD
SPPP.U	Sprott Physical Platinum Palladium USD
SZLS.WS	Stagezero Life Sciences Ltd Warrants
TECK.A	Teck Resources Limited Cl A
TECK.B	Teck Resources Limited Cl B
TFPM.U	Triple Flag Precious Metals Corp
TGOD.WA	The Green Organic Dutchman Hlds Ltd WA
TGOD.WB	The Green Organic Dutchman Hlds Ltd Wb
TGOD.WR	Green Organic Dutchman Holdings Ltd WT
TGOD.WS	The Green Organic Dutchman Hlds Ltd Ws
WILD.DB	Wildbrain Ltd 5.875 Pct Debs
AD.UN	Alaris Equity Partners Income Trust
AGR.UN	Sustainable Agriculture Wellness Div Fnd
AP.UN	Allied Properties Real Estate Inv Trust
APR.UN	Automotive Properties REIT
AW.UN	A&W Revenue Royalties Income Fund
AX.UN	Artis Real Estate Investment Trust Units
BBU.UN	Brookfield Business Partners LP
BEI.UN	Boardwalk Real Estate Investment Trust
BEP.UN	Brookfield Renewable Partners LP
BGI.UN	Brookfield Glbl Infras Sec Inc Fd
BIP.UN	Brookfield Infra Partners LP Units
BL.UN	Global Innovation Dividend Fund
BLB.UN	Bloom Select Income Fund
BPF.UN	Boston Pizza Royalties Income Fund
BPY.UN	Brookfield Property Partners LP
BSO.UN	Brookfield Select Opportunities Inc Fund
BTB.UN	Btb REIT Units
BUA.UN	Bloom US Income and Growth Fund
CAR.UN	CDN Apartment Un
CDD.UN	Core Canadian Dividend Trust
CHE.UN	Chemtrade Logistics Income Fund
CHP.UN	Choice Properties REIT
CIQ.UN	Canadian High Income Equity Fund
CLP.UN	International Clean Power Dividend Fund
CRR.UN	Crombie Real Estate Investment Trust
CRT.UN	CT Real Estate Investment Trust
CSH.UN	Chartwell Retirement Residences
CTF.UN	Citadel Income Fund
CUF.UN	Cominar R E Un
D.UN	Dream Office REIT
DHT.UN	Dri Healthcare Trust
DIR.UN	Dream Industrial REIT
EIT.UN	Canoe Eit Income Fund Units
ENI.UN	Energy Income Fund
ERE.UN	European Residential Real Estate Invs. Trust
FCR.UN	First Capital REIT Units
FFI.UN	Flaherty & Crumrine Fixed Income Fund
GDG.UN	Global Dividend Growers Income Fund
GEC.UN	Global Real Estate & E-Commerce Dividend
GRT.UN	Granite Real Estate Investment Trust
HBL.UN	Brand Leaders Income Fund
HOM.UN	Bsr Real Estate Investment Trust
HOT.UN	American Hotel Income Properties REIT LP
HR.UN	H&R Real Estate Inv Trust
HRR.UN	Australian REIT Income Fund
IIP.UN	Interrent Real Estate Investment Trust
INC.UN	Income Fin Un
INF.UN	Sustainable Infrastructure Div Fund
INO.UN	Inovalis REIT
JFS.UN	Jft Strategies Fund
KEG.UN	Keg Royalties Income Fund
KMP.UN	Killam Apartment REIT
MDC.UN	Digital Consumer Dividend Fund
MDS.UN	Healthcare Special Opp Fund
MI.UN	Minto Apartment REIT
MID.UN	Mint Income Fund
MKZ.UN	Mackenzie Mstr Un
MMP.UN	Precious Metals and Mining Trust
MPCT.UN	Dream Impact Trust Units
MR.UN	Melcor REIT
MRG.UN	Morguard Na Residential REIT Units
MRT.UN	Morguard Un
NHF.UN	Northview CDN High Yld Residential Fund
NIF.UN	Noranda Income Fund
NWH.UN	Northwest Healthcare Prop REIT
NXR.UN	Nexus Real Estate Investment Trust
PBY.UN	Canso Credit Income Fund Units
PGI.UN	Pimco Global Inc Opportunities Fund
PLZ.UN	Plaza Retail REIT
PMB.UN	Picton Mahoney Tactical Income Fund
PRV.UN	Pro Real Estate Investment Trust
PTI.UN	Pimco Tactical Income Fund
PTO.UN	Pimco Tactical Income Opportunites Fund
QETH.UN	The Ether Fund
QSP.UN	Restaurant Brands Intl Ltd Partnership
RA.UN	Middlefield Global Real Asset Fund
RAV.UN	Ravensource Fund
RBN.UN	Blue Ribbon Income Fund
RCO.UN	Middlefield Can Global REIT Income Fund
REI.UN	Riocan Real Est Un
RIB.UN	Ridgewood CAD Invest Grade Bond Fund
RPI.UN	Richards Packaging Income Fund
SGR.UN	Slate Grocery REIT
SIH.UN	Sustainable Innovation & Health Dividend
SMU.UN	Summit Industrial Income REIT
SOT.UN	Slate Office REIT
SRU.UN	Smartcentres Real Estate Investment Trust
SRV.UN	Sir Royalty Income Fund
SSF.UN	Symphony Floating Rate Sr Loan Fd
TCT.UN	Top 10 Canadian Financial Trust
TNT.UN	True North Commercial REIT
TXT.UN	Top 10 Split Trust
U.UN	Sprott Physical Uranium Trust
USF.UN	US Financials Income Fund
UTE.UN	Canadian Utilities Telecom Inc Fd
WIR.UN	Wpt Industrial REIT Units
ACZ	Middlefield American Core Dividend ETF
ARB	Accelerate Arbitrage Fund ETF
ATSX	Accelerate Enhanced CDN Bm Alt Fund ETF
AUGB.F	First Trst CBOE Vest US Eqty Buffer ETF
BASE	Evolve Glob Matls Mining Enh Yld Idx ETF
BBIG	Horizons Global Bbig Technology ETF Clas
BBIG.U	Horizons Global Bbig Tech ETF USD
BDEQ	Black Diamond Global Equity Fund ETF
BDIV	Brompton Global Dividend Growth ETF
BDOP	Black Diamond Distressed Opport Fund ETF
BESG	Invesco ESG CDN Core Plus Bond ETF
BFIN	Brompton Na Financials Dividend ETF
BGC	Bristol Gate Concentrated CDN Eqty ETF
BGU	Bristol Gate Concentrated US Eqty ETF
BGU.U	Bristol Gate Conc US Eqty ETF USD
BITC	Ninepoint Bitcoin ETF
BITI	Betapro Inverse Bitcoin ETF
BITI.U	Betapro Inverse Bitcoin ETF USD
BKL.C	Invesco Senior Loan Index ETF
BKL.F	Invesco Senior Loan Index ETF
BKL.U	Invesco Senior Loan Index USD ETF
BLCK	First Trust Indxx Innov Trans Proc ETF
BLOV	Brompton Na Low Volatility Dividend ETF
BNC	Purpose CDN Financial Income Fund ETF
BND	Purpose Tactical Inv Grade Bond ETF
BPRF	Bf and Crumrine Invest Grade Pref ETF
BPRF.U	Bf and Crumrine Invgrade Pref ETF USD
BREA	Brompton Global Real Assets Dividend ETF
BSKT	Manulife Smart Core Bond ETF
BTCC	Purpose Bitcoin ETF Currency Hgd
BTCC.B	Purpose Bitcoin ETF [Cad ETF Non-Currenc
BTCC.U	Purpose Bitcoin ETF [Usd ETF Non-Currenc
BTCQ	3iQ Coinshares Bitcoin ETF
BTCQ.U	3iQ Coinshares Bitcoin ETF USD
BTCX.B	CI Galaxy Bitcoin ETF [Cad Unhedged Unit
BTCX.U	CI Galaxy Bitcoin ETF [Usd Unhedged Unit
BXF	CI First Asset 1 To 5 Yr Lad Gov Stp Bd ETF
CACB	CIBC Active Invst Grade Corp Bond ETF
CAFR	CIBC Act Invst Grade Float Rate Bond ETF
CAGG	CI Yield Enh CDN Agrt Bond ETF
CAGS	CI Yield Enh CDN ST Agt Bond ETF
CALL	Evolve US Banks Enhanced Yield ETF
CALL.U	Evolve US Banks Enhanced Yld Fd ETF USD
CARS	Evolve Automobile Innovation Idx Hgd ETF
CARS.B	Evolve Automobile Innovation Idx Uh ETF
CBH	Ishares 1-10 Yr Laddered Corp Bond ETF
CBO	Ishares 1-5Yr Laddered Corp Bond ETF
CCBI	CIBC Canadian Bond Index ETF
CCEI	CIBC Canadian Equity Index ETF
CCNS	CIBC Conservative Fixed Income Pool ETF
CCOR	CI Doubleline Cor Plus Fxd Inc US HD ETF
CCRE	CIBC Core Fixed Income Pool ETF
CDIV	Manulife Smart Dividend ETF
CDLB	CI Doubleline Total Return Bnd US HD ETF
CDLB.B	CI Doubleline Total Return Bnd US Uh ETF
CDZ	Ishares S&P TSX CDN Dividend ETF
CEW	Ishares Equal Weight Banc Lifeco ETF
CFLX	CIBC Flexible Yield ETF Hedged
CGAA	CI First Asset Glb Asset Allocation ETF
CGL	Ishares Gold Bullion ETF Hdg
CGL.C	Ishares Gold Bullion ETF Non Hdg
CGLO	CIBC Global Growth ETF
CGR	Ishares Global Real Estate ETF
CGRA	CI Global Real Asset Private Pool ETF
CGRE	CI Global REIT Private Pool ETF
CGXF	CI First Asset Gold Giants Cvr Call ETF
CHB	Ishares US HY Fixed Income Index ETF
CHNA.B	CI Icbccs SP China 500 Index ETF
CHPS	Horizons Global Semiconductor Index ETF
CHPS.U	Horizons Global Semiconductr Idx ETF USD
CIBR	First Trust Nasdaq Cybersecurity ETF
CIC	CI First Asset Canbanc Income Class ETF
CIEI	CIBC International Equity Index ETF
CIF	Ishares Global Infrastructure Index ETF
CINC	CI Doubleline Income US Hdg ETF
CINF	CI Global Infrastructure Pvt Pool ETF
CINT	CIBC International Equity ETF
CLF	Ishares 1-5 Yr Ladder Govt Bond ETF
CLG	Ishares 1-10 Yr Ladder Govt Bond ETF
CLML	CI Global Climate Leaders Fund ETF
CMAG	CI Munro Alt Global Growth ETF
CMAR	CI Marret Alt Absolute Return Bnd ETF
CMAR.U	CI Marret Alt Absolute Rtrn Bnd ETF USD
CMCE	CIBC Multifactor Canadian Equity ETF
CMEY	CI Marret Alternative Enhanced Yield ETF
CMGG	CI Munro Global Gwth Equity Fund ETF CAD
CMR	Ishares Premium Money Market ETF
CMUE	CIBC Multifactor US Equity ETF
CMUE.F	CIBC Multifactor US Equity ETF Hedged
CNAO	CI Alternative Na Opps Fund ETF
CNAO.U	CI Alternative Na Opps Fund ETF USD
COMM	BMO Global Communications Index ETF
COW	Ishares Global Agri Index ETF
CPD	Ishares S&P TSX CDN Pref ETF
CPLS	CIBC Core Plus Fixed Income Pool ETF
CRED	CI Lawrence Park Alt Invest Grd Crdt ETF
CRED.U	CI Lawrence Park Alt Inv Grd Crt ETF USD
CSAV	CI First Asset High Interest Savings ETF
CSD	Ishares Short Dur HI Inc ETF CAD Hgd
CSY	CI First Asset Core Can Equity Inc Class ETF
CUD	Ishares S&P US Div Growers ETF
CUEI	CIBC US Equity Index ETF
CVD	Ishares Convertible Bond Index ETF
CWW	Ishares S&P Global Water ETF
CXF	CI First Asset CDN Convert Bond ETF
CYBR	Evolve Cyber Security Index Hgd ETF
CYBR.B	Evolve Cyber Security Index Uh ETF
CYH	Ishares Global Monthly Dividend ETF
DANC	Desjardins Lng Shrt Eqty Mkt Ntrl ETF
DATA	Evolve Cloud Computing Index Fund Hg ETF
DATA.B	Evolve Cloud Computing Indx Fund Uhg ETF
DCC	Desjardins 1To5 Yr Lad CDN Corp Bd ETF
DCG	Desjardins 1To5 Yr Lad CDN Govt Bd ETF
DCP	Desjardins CDN Pref Share ETF
DCS	Desjardins CDN Short Term Bd ETF
DCU	Desjardins CDN Universe Bond Index ETF
DFC	Desjardins Cda Multifactor Ctrl Vol ETF
DFD	Desjardins Dev Xus Xcda Mltifact Vol ETF
DFE	Desjardins EM Multifactor-Controlled Vol ETF
DFU	Desjardins USA Multifactor Ctrl Vol ETF
DGR	CI Wisdomtree US Quality Div Growth Index ETF
DGR.B	CI Wisdomtree US Quality Div Growth Index ETF
DGRC	CI Wisdomtree CDN Qlty Div Gwth Idx ETF
DISC	BMO Glb Consumer Disc Hgd To CAD ETF
DIVS	Evolve Active CDN Pref Share ETF
DLR	Horizons US Dollar Currency ETF
DLR.U	Horizons US Dollar Currency ETF USD
DQD	CI Wisdomtree Y.S. Qlty Divd Gwth Var Hgd ETF
DQI	CI Wisdomtree Intl Qlty Div Gwth Var Hgd ETF
DRFC	Desjardins RI Cda Multi Low Co2 ETF
DRFD	Desjardins RI Dev Ex USA Ex Cda Co2 ETF
DRFE	Desjardins Emerging Mkts Low Co2 ETF
DRFG	Desjardins Gbl Fossil Fuel Res Free ETF
DRFU	Desjardins RI USA Multi Low Co2 ETF
DRMC	Desjardins RI Canada-Low Co2 Index ETF
DRMD	Desjardins RI Dev Exusa Exca Low Co2 ETF
DRME	Desjardins RI Emrgng Mkt Low Co2 Idx ETF
DRMU	Desjardins RI USA Low Co2 Index ETF
DXB	Dynamic Ishares Act Tactical Bond ETF
DXC	Dyn Ishares Active CDN Div ETF
DXEM	Dynamic Active Emerging Markets ETF
DXET	Dynamic Active Energy Evolution ETF
DXF	Dynamic Ishares Act Global Fin Ser ETF
DXG	Dyn Ishares Active Global Div ETF
DXIF	Dynamic Active International ETF
DXN	Dynamic Active Global Infrastructure ETF
DXO	Dyn Ishares Act Crossover Bond ETF
DXP	Dyn Ishares Active Pref Shares ETF
DXR	Dynamic Active Retirement Income+ ETF
DXU	Dyn Ishares Active US Div ETF
DXV	Dyn Ishares Act Inv Grd Flot Rt ETF
DXW	Dynamic Active Intl Dividend ETF
DXZ	Dynamic Ishares Acitve US Mid Cap ETF
EARN	Evolve Active Global Fixed Income ETF
EBIT	Bitcoin ETF
EBIT.U	Bitcoin ETF USD
EDGE	Evolve Innovation Index ETF
EDGE.U	Evolve Innovation Index Fund Uhg ETF USD
EDGF	Brompton European Div Growth ETF
EGIF	Exemplar Growth and Income Fund ETF
EHE	CI Wisdomtree Europe Hedged Equity Index ETF
EHE.B	CI Wisdomtree Europe Hedged Equity Index ETF
ELV	Powershares S&P Emg Mkts Low Vol ETF
EMV.B	CI Wisdomtree Emerging Mkt Divd Index ETF
EQL	Invesco S&P 500 Eql Weight Idx ETF
EQL.F	Invesco S&P 500 Eql Weight Idx ETF Hgd
EQL.U	Invesco S&P 500 Eql Weight Idx ETF USD
ESG	Invesco S&P 500 ESG Index ETF
ESG.F	Invesco S&P 500 ESG Index ETF Hedged
ESGA	BMO MSCI Canada ESG Leaders Index ETF
ESGB	BMO ESG Corporate Bond Index ETF
ESGC	Invesco SP TSX Composite ESG Index ETF
ESGE	BMO MSCI EAFE ESG Leaders Index ETF
ESGF	BMO ESG US Corp Bnd Hdgd To CAD Idx ETF
ESGG	BMO MSCI Global ESG Leaders Index ETF
ESGY	BMO MSCI USA ESG Leaders Index ETF
ESGY.F	BMO MSCI USA ESG Leaders Index ETF
ETHH	Purpose Ether CAD ETF
ETHH.B	Purpose Ether Non-Cur Hedg ETF
ETHH.U	Purpose Ether ETF USD
ETHI	Horizons Global Sustain Leaders Idx ETF
ETHQ	3iQ Coinshares Ether ETF
ETHQ.U	3iQ Coinshares Ether ETF USD
ETHR	Ether Unhedg ETF
ETHR.U	Ether ETF USD
ETHX.B	CI Galaxy Unhedg Ethereum ETF
ETHX.U	CI Galaxy Ethereum ETF USD
ETP	First Trust Global Risk Managed Inc ETF
EUR	First Trust Alphadex Euro Div ETF
FAI	CI First Asset Utility & Infra ETF
FAO	CI First Asset Active Credit ETF
FAO.U	CI Fa Active Credit ETF USD
FBGO	Franklin Brandywine Glbl Sust Act ETF
FBT	First Trust NYSE Arca Biotechnology ETF
FCCB	Fidelity Systematic CDN Bond Index ETF
FCCD	Fidelity CDN High Div Index ETF
FCCL	Fidelity Canadian Low Vol Index ETF
FCCM	Fidelity Canadian Momentum Index ETF
FCCQ	Fidelity Canadian High Quality Index ETF
FCCV	Fidelity Canadian Value Index ETF
FCGB	Fidelity Global Core Plus Bond ETF
FCGI	Fidelity Global Monthly High Income ETF
FCHH	Fidelity Systematic US HI Yld Bd Cn ETF
FCHY	Fidelity Systematic US High Yld Bond ETF
FCID	Fidelity Intl High Dividend Index ETF
FCIG	Fidelity Global Investment Grade Bnd ETF
FCII	Franklin Clearbridge Sust Glbl Act ETF
FCIL	Fidelity Intl Low Vol Index ETF
FCIM	Fidelity International Momentum Idx ETF
FCIQ	Fidelity Intl High Quality Index ETF
FCIV	Fidelity International Value Index ETF
FCLH	Fidelity US Low Vol Cur Ntrl Index ETF
FCMH	Fidelity US Momentum Cur Neut Index ETF
FCMI	Fidelity CDN Monthly High Income ETF
FCMO	Fidelity US Momentum Index ETF
FCQH	Fidelity US High Qlty Cur Ntrl Index ETF
FCRR	Fidelity US Div For Rising Rates Idx ETF
FCSB	Fidelity Canadian Short Term Corp Bd ETF
FCSI	Franklin Clearbridge Sust Intl Act ETF
FCUD	Fidelity US High Div Index ETF
FCUH	Fidelity US High Div Cur Neu Idx ETF
FCUL	Fidelity US Low Vol Index ETF
FCUQ	Fidelity US High Quality Index ETF
FCUV	Fidelity US Value Index ETF
FCVH	Fidelity US Value Currency Neut Idx ETF
FDE	First Trust Alphadex Emg Mkt Div ETF CAD
FDL	First Trust Morningstar Div Ldrs ETF Hgd
FDN	First Trust Dow Jones Internet ETF
FDN.F	First Trust Dow Jones Internet ETF Hgd
FDV	CI First Asset Active CDN Divd ETF
FEBB.F	First Trust CBOE Vest US Eqty ETF Feb
FGB	CI First Asset Shrt Term Govt Bond Indx Cl ETF
FGGE	Franklin Global Growth Active ETF
FGO	CI First Asset Enhanced Govt Bond ETF
FGO.U	CI First Asset Enhanced Govt Bond ETF USD
FHG	First Trust US Industrials ETF
FHG.F	First Trust Ad US Industrials ETF
FHH	First Trust US Health Care ETF
FHH.F	First Trust Ad US Health Care ETF
FHI	CI First Asset Hlth Care Giants Cov Call ETF
FHI.B	CI First Asset Hlth Care Giants Cov Call ETF
FHQ	First Trust US Technology ETF
FHQ.F	First Trust Ad US Technology ETF
FIE	Ishares CDN Fin Mthly Income ETF
FIG	CI First Asset Investment Grade Bond ETF
FIG.U	CI First Asset Investment Grade Bond ETF USD
FINO	Franklin Innovation Active ETF
FINT	First Trust Intl Capital Strength ETF
FIVE	Evolve SP 500 Cleanbeta Fund Hg ETF
FLBA	Franklin Liberty Core Balanced ETF
FLCI	Franklin Liberty CDN Invest Grd Corp ETF
FLCP	Franklin Liberty Core Plus Bond ETF
FLDM	Franklin Libertyqt Intl Eqt Index ETF
FLEM	Franklin Libertyqt Emerging Mkts Idx ETF
FLGA	Franklin Liberty Global Agg Bond ETF
FLGD	Franklin Libertyqt Glb Dividend Idx ETF
FLI	CI First Asset US Cda Lifeco Income ETF
FLOT	Purpose Floating Rate Income Fund ETF
FLOT.B	Purpose Floating Rate Income Fund ETF NH
FLRM	Franklin Liberty Risk Mngd CDN Eqt ETF
FLSD	Franklin Liberty Short Duration Bond ETF
FLUS	Franklin Libertyqt US Eqt Index ETF
FOUR	Horizons Industry 4.0 Index ETF
FPR	CI First Asset Pref Share ETF
FQC	CI First Asset MSCI Can Quality Index Class ETF
FSB	CI First Asset Enhanced Sh Dur Bond ETF
FSB.U	CI First Asset Enhanced Sh Dur Bond ETF USD
FSF	CI First Asset Global Financial Sector ETF
FSL	First Trust Senior Loan ETF
FSL.A	First Trust Senior Loan ETF Adv Cls
FST	First Trust CDN Capital Strength ETF
FST.A	First Trust CDN Capital Strength ETF AC
FTB	First Trust Tactical Bond Index ETF
FUD	First Trust Alphadex US Div ETF CAD Hdg
FUD.A	First Trust Value Line Div Idx ETF AC
FXM	CI First Asset Morningstar Cda Value ETF
GBAL	Ishares ESG Balanced ETF
GCBD	Guardian Canadian Bond ETF
GCNS	Ishares ESG Conservative Balanced ETF
GDEP	Guardian Directed Equity Path ETF
GDEP.B	Guardian Directed Equity Path ETF Unhdg
GDPY	Guardian Directed Premium Yield ETF
GDPY.B	Guardian Directed Premium Yield ETF Uh
GEQT	Ishares ESG Equity ETF
GGAC	Guardian Fundmntl All Country Equity ETF
GGEM	Guardian Fundmntl Emrgng Mkts Equity ETF
GGRO	Ishares ESG Growth ETF
GIGR	Guardian I3 Global REIT Hedg ETF
GIGR.B	Guardian I3 Global REIT Unhedg ETF
GIQG	Guardian I3 Global Quality Growth ETF
GIQG.B	Guardian I3 Global Quality Growth ETF
GIQU	Guardian I3 US Quality Growth Hedg ETF
GIQU.B	Guardian I3 US Quality Growth Unhedg ETF
HAB	Horizons Active Corporate Bond ETF
